model_type,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","total_contributions_q100","var3",.322318095247702,.25433677,.20505381,38.957355,,1226437
"OLS","total_contributions_q100","var5",-.4054471835785433,.80943125,.61643946,38.957355,,1226437
"OLS","total_contributions_q100","var4",-.310405837130671,.69507122,.65517795,38.957355,,1226437
"IV","total_contributions_q100","var3",18.02349189355802,2.7742467,8.2315571e-11,38.957355,382.38347907416,1226437
"IV","total_contributions_q100","var5",-14.02266577655631,4.1976786,.00083622517,38.957355,382.38347907416,1226437
"IV","total_contributions_q100","var4",7.107937787677555,3.1358767,.023412799,38.957355,382.38347907416,1226437
"OLS","restricted_contributions_q100","var3",-.2813419272094311,.1173773,.016535394,16.327028,,1226437
"OLS","restricted_contributions_q100","var5",1.939645817171861,.49373466,.000085504107,16.327028,,1226437
"OLS","restricted_contributions_q100","var4",-2.209684332108898,.42653427,2.2147542e-07,16.327028,,1226437
"IV","restricted_contributions_q100","var3",.2370417625553818,1.1932198,.84253109,16.327028,382.38347907416,1226437
"IV","restricted_contributions_q100","var5",1.761766768293285,2.1793156,.41885933,16.327028,382.38347907416,1226437
"IV","restricted_contributions_q100","var4",-2.17689963616083,1.6934381,.19862245,16.327028,382.38347907416,1226437
"OLS","total_contributions_we","var3",-.5175774345229688,.52148789,.32095441,34.8923,,1226437
"OLS","total_contributions_we","var5",5.010819571260201,2.472146,.042673066,34.8923,,1226437
"OLS","total_contributions_we","var4",-6.122784445650979,2.1247711,.0039568455,34.8923,,1226437
"IV","total_contributions_we","var3",-1.282568425856345,4.7004843,.78496212,34.8923,382.3834790741599,1226437
"IV","total_contributions_we","var5",2.591613787006166,11.810265,.82630962,34.8923,382.3834790741599,1226437
"IV","total_contributions_we","var4",-3.931844847183047,9.5318031,.67997533,34.8923,382.3834790741599,1226437
"OLS","restricted_contributions_we","var3",-.2044327070630645,.29199269,.48384738,15.835864,,1226437
"OLS","restricted_contributions_we","var5",5.275404113635978,1.562879,.00073714089,15.835864,,1226437
"OLS","restricted_contributions_we","var4",-5.285316937824544,1.3450032,.00008512265,15.835864,,1226437
"IV","restricted_contributions_we","var3",-5.449629148195891,2.6236634,.037793189,15.835864,382.3834790741599,1226437
"IV","restricted_contributions_we","var5",11.38421138095916,7.3100953,.11939462,15.835864,382.3834790741599,1226437
"IV","restricted_contributions_we","var4",-9.215182123267537,5.943212,.12101405,15.835864,382.3834790741599,1226437
